population,epsilon,beta0,zone,weight,distance,peak_infectious,peak_day,attack_rate,n_waves,mean_alert_level
5,0.8,0.02147908575254459,sparse_periphery,0.004001646225669752,0.6747224710370706,70.0,15.0,0.976,11.0,1.9945205479452055
5,0.8,0.02358070120457181,sparse_periphery,0.004035116734240416,0.7414722784573957,58.0,219.0,0.964,8.0,1.9095890410958904
5,0.8,0.02489866583145244,sparse_periphery,0.00430942699175227,0.638751627785762,68.0,20.0,0.966,11.0,2.2356164383561645
5,0.8,0.02377107765245821,sparse_periphery,0.004061547094788448,0.7590870892286333,46.0,228.0,0.976,13.0,2.345205479452055
5,0.8,0.024209182809860404,sparse_periphery,0.004138713598219687,0.6868832106660544,63.0,28.0,0.972,10.0,2.03013698630137
5,0.8,0.018987157685918164,sparse_periphery,0.004571682745501355,0.7909366533080834,61.0,20.0,0.946,10.0,1.9397260273972603
5,0.8,0.02372499072344411,sparse_periphery,0.004054762795009188,0.747262494825707,62.0,12.0,0.97,11.0,2.0575342465753423
5,0.8,0.020778253573803234,sparse_periphery,0.00409011749263433,0.6581239749668978,54.0,27.0,0.95,9.0,1.895890410958904
5,0.8,0.008670227097473983,dense_periphery,0.007866647541793684,0.6081676549500308,39.0,353.0,0.928,13.0,1.8767123287671232
5,0.8,0.01830398180803797,sparse_periphery,0.0048804992893399755,0.743208657683293,56.0,55.0,0.928,9.0,1.9671232876712328
5,0.8,0.017783088822389995,sparse_periphery,0.00517949839463181,0.7147009127098649,53.0,364.0,0.89,10.0,1.6712328767123288
5,0.8,0.0291896724997834,sparse_periphery,0.007459833009046993,0.6597894553126935,98.0,22.0,0.994,10.0,1.7534246575342465
5,0.8,0.018694805501753634,sparse_periphery,0.004693470854792607,0.7110706065216409,55.0,17.0,0.91,12.0,2.0575342465753423
5,0.8,0.019576225501136236,sparse_periphery,0.004367237576628909,0.7042649875841553,69.0,12.0,0.974,12.0,2.128767123287671
5,0.8,0.02235259987974297,sparse_periphery,0.003960398978319064,0.760131972971793,56.0,35.0,0.91,13.0,2.2575342465753425
5,0.8,0.02468866629367967,sparse_periphery,0.004250738884063514,0.6573302805056259,68.0,221.0,0.96,10.0,1.8575342465753424
5,0.8,0.021166738708235336,sparse_periphery,0.0040348892453113665,0.6776611115168324,58.0,36.0,0.926,7.0,1.5917808219178082
5,0.8,0.019206407668801096,sparse_periphery,0.004489535783794076,0.6877147865714882,40.0,133.0,0.876,9.0,2.0602739726027397
5,0.8,0.019304002831272524,sparse_periphery,0.004455341597404757,0.6368582040669906,64.0,17.0,0.906,10.0,1.9589041095890412
5,0.8,0.010696104843895967,dense_periphery,0.007584144410675546,0.6491373520239365,54.0,48.0,0.946,11.0,1.9863013698630136
5,0.8,0.02257879089792606,sparse_periphery,0.003962215742008603,0.741016857633685,53.0,19.0,0.944,12.0,2.2958904109589042
5,0.8,0.021614412823460723,sparse_periphery,0.003990278293092024,0.6715154927126848,67.0,22.0,0.97,13.0,2.1013698630136988
5,0.8,0.021854438829592898,sparse_periphery,0.003974599593592714,0.7302640586942002,65.0,55.0,0.944,9.0,2.0
5,0.8,0.02045972689576581,sparse_periphery,0.004147291052722254,0.7629603513325437,52.0,199.0,0.938,12.0,2.1534246575342464
5,0.8,0.025884122789262606,sparse_periphery,0.004671356555236096,0.7000087646463959,63.0,14.0,0.968,12.0,2.208219178082192
5,0.8,0.02500147360111804,sparse_periphery,0.004340392562584632,0.7500371984064829,85.0,29.0,0.984,10.0,2.0
5,0.8,0.0213220092843913,sparse_periphery,0.004017136683283324,0.786896633469922,71.0,50.0,0.976,10.0,2.115068493150685
5,0.8,0.016458565919310043,sparse_periphery,0.006281644423612188,0.7572177692932721,61.0,59.0,0.9,6.0,1.819178082191781
5,0.8,0.02707254650093683,sparse_periphery,0.005333545006592019,0.6932884697752162,73.0,210.0,0.972,9.0,1.9424657534246574
5,0.8,0.02561282230728807,sparse_periphery,0.004556622359212356,0.6955367781381768,92.0,45.0,0.986,11.0,2.021917808219178
5,0.8,0.02338990716152867,sparse_periphery,0.004012788256022618,0.7501099541450945,64.0,26.0,0.928,12.0,2.0986301369863014
5,0.8,0.00968708858882643,dense_periphery,0.0074311938004483664,0.5990456225880021,71.0,32.0,0.922,9.0,1.83013698630137
5,0.8,0.017278161450565568,sparse_periphery,0.0055339948207565074,0.7990837527161314,40.0,13.0,0.918,11.0,1.8136986301369864
5,0.8,0.01773752423200925,sparse_periphery,0.005208687920931511,0.7811849806358916,40.0,96.0,0.844,7.0,1.7013698630136986
5,0.8,0.02468966895423744,sparse_periphery,0.004251004796529554,0.686239603742247,56.0,55.0,0.936,13.0,2.2575342465753425
5,0.8,0.01808004209438397,sparse_periphery,0.005001552371540609,0.6682699734046563,39.0,182.0,0.906,10.0,1.9205479452054794
5,0.8,0.019471386506338145,sparse_periphery,0.004399933233463787,0.6743229817932712,37.0,239.0,0.934,10.0,2.0273972602739727
5,0.8,0.022111571255890788,sparse_periphery,0.003964166588968841,0.7504091607603541,62.0,61.0,0.962,10.0,2.0821917808219177
5,0.8,0.021496171765206466,sparse_periphery,0.004000110173584479,0.7099867088305558,62.0,59.0,0.924,12.0,2.1232876712328768
5,0.8,0.025482017614540425,sparse_periphery,0.0045055630986897055,0.6569262775482565,73.0,35.0,0.964,12.0,2.2575342465753425
5,0.8,0.02883509376014865,sparse_periphery,0.006984935327207302,0.7535163248466246,83.0,40.0,0.994,12.0,2.0191780821917806
5,0.8,0.009768037619899321,dense_periphery,0.007422586926783758,0.7397937205431413,72.0,27.0,0.924,8.0,1.7534246575342465
5,0.8,0.020959708877351064,sparse_periphery,0.004062377428060242,0.6349183771278992,78.0,11.0,0.972,12.0,2.1041095890410957
5,0.8,0.02740331486782292,sparse_periphery,0.0055721959593108905,0.7933302555452235,80.0,47.0,0.986,13.0,2.1424657534246574
5,0.8,0.02676981740154107,sparse_periphery,0.005137648629986977,0.7110460216809807,69.0,317.0,0.982,13.0,2.063013698630137
5,0.8,0.017831334768213736,sparse_periphery,0.005149155021398269,0.6687591802741113,44.0,38.0,0.908,8.0,1.8356164383561644
5,0.8,0.0284830494348753,sparse_periphery,0.006569604023177874,0.7241917578094068,81.0,22.0,0.968,8.0,1.915068493150685
5,0.8,0.022916005680738462,sparse_periphery,0.003974728235268273,0.7189394012132561,57.0,16.0,0.956,12.0,2.052054794520548
